Datetime,Open,High,Low,Close
2022-02-10 05:01:00+00:00,43818.578125,43818.578125,43818.578125,43818.578125
2022-02-10 05:02:00+00:00,43816.859375,43816.859375,43816.859375,43816.859375
2022-02-10 05:03:00+00:00,43817.0859375,43817.0859375,43817.0859375,43817.0859375
2022-02-10 05:04:00+00:00,43816.87109375,43816.87109375,43816.87109375,43816.87109375
2022-02-10 05:05:00+00:00,43812.3671875,43812.3671875,43812.3671875,43812.3671875
2022-02-10 05:06:00+00:00,,,,
2022-02-10 05:07:00+00:00,43791.5,43791.5,43791.5,43791.5
2022-02-10 05:08:00+00:00,43792.33203125,43792.33203125,43792.33203125,43792.33203125
2022-02-10 05:09:00+00:00,43787.2421875,43787.2421875,43787.2421875,43787.2421875
2022-02-10 05:10:00+00:00,,,,
2022-02-10 05:11:00+00:00,43776.91796875,43776.91796875,43776.91796875,43776.91796875
2022-02-10 05:12:00+00:00,43772.01953125,43772.01953125,43772.01953125,43772.01953125
2022-02-10 05:13:00+00:00,43782.39453125,43782.39453125,43782.39453125,43782.39453125
2022-02-10 05:14:00+00:00,,,,
2022-02-10 05:15:00+00:00,43796.078125,43796.078125,43796.078125,43796.078125
2022-02-10 05:16:00+00:00,43816.35546875,43816.35546875,43816.35546875,43816.35546875
2022-02-10 05:17:00+00:00,43818.9140625,43818.9140625,43818.9140625,43818.9140625
2022-02-10 05:18:00+00:00,43808.69140625,43808.69140625,43808.69140625,43808.69140625
2022-02-10 05:19:00+00:00,43800.26171875,43800.26171875,43800.26171875,43800.26171875
2022-02-10 05:20:00+00:00,43800.4296875,43800.4296875,43800.4296875,43800.4296875
2022-02-10 05:21:00+00:00,43800.94140625,43800.94140625,43800.94140625,43800.94140625
2022-02-10 05:22:00+00:00,,,,
2022-02-10 05:23:00+00:00,,,,
2022-02-10 05:24:00+00:00,43810.3515625,43810.3515625,43810.3515625,43810.3515625
2022-02-10 05:25:00+00:00,43827.01953125,43827.01953125,43827.01953125,43827.01953125
2022-02-10 05:26:00+00:00,43829.734375,43829.734375,43829.734375,43829.734375
2022-02-10 05:27:00+00:00,43831.078125,43831.078125,43831.078125,43831.078125
2022-02-10 05:28:00+00:00,43859.03125,43859.03125,43859.03125,43859.03125
2022-02-10 05:29:00+00:00,43858.15234375,43858.15234375,43858.15234375,43858.15234375
2022-02-10 05:30:00+00:00,43856.109375,43856.109375,43856.109375,43856.109375
2022-02-10 05:31:00+00:00,,,,
2022-02-10 05:32:00+00:00,43864.00390625,43864.00390625,43864.00390625,43864.00390625
2022-02-10 05:33:00+00:00,,,,
2022-02-10 05:34:00+00:00,43864.01953125,43864.01953125,43864.01953125,43864.01953125
2022-02-10 05:35:00+00:00,43860.30859375,43860.30859375,43860.30859375,43860.30859375
2022-02-10 05:36:00+00:00,43856.95703125,43856.95703125,43856.95703125,43856.95703125
2022-02-10 05:37:00+00:00,43835.26171875,43835.26171875,43835.26171875,43835.26171875
2022-02-10 05:38:00+00:00,43843.12890625,43843.12890625,43843.12890625,43843.12890625
2022-02-10 05:39:00+00:00,43843.39453125,43843.39453125,43843.39453125,43843.39453125
2022-02-10 05:40:00+00:00,43853.19921875,43853.19921875,43853.19921875,43853.19921875
2022-02-10 05:41:00+00:00,43852.0859375,43852.0859375,43852.0859375,43852.0859375
2022-02-10 05:42:00+00:00,43858.17578125,43858.17578125,43858.17578125,43858.17578125
2022-02-10 05:43:00+00:00,43868.3828125,43868.3828125,43868.3828125,43868.3828125
2022-02-10 05:44:00+00:00,43870.74609375,43870.74609375,43870.74609375,43870.74609375
2022-02-10 05:45:00+00:00,43871.265625,43871.265625,43871.265625,43871.265625
2022-02-10 05:46:00+00:00,43881.2109375,43881.2109375,43881.2109375,43881.2109375
2022-02-10 05:47:00+00:00,43884.74609375,43884.74609375,43884.74609375,43884.74609375
2022-02-10 05:48:00+00:00,,,,
2022-02-10 05:49:00+00:00,43859.80078125,43859.80078125,43859.80078125,43859.80078125
2022-02-10 05:50:00+00:00,43862.29296875,43862.29296875,43862.29296875,43862.29296875
2022-02-10 05:51:00+00:00,43859.265625,43859.265625,43859.265625,43859.265625
2022-02-10 05:52:00+00:00,43869.75,43869.75,43869.75,43869.75
2022-02-10 05:53:00+00:00,43875.9453125,43875.9453125,43875.9453125,43875.9453125
2022-02-10 05:54:00+00:00,43877.47265625,43877.47265625,43877.47265625,43877.47265625
2022-02-10 05:55:00+00:00,43894.78125,43894.78125,43894.78125,43894.78125
2022-02-10 05:56:00+00:00,43894.71484375,43894.71484375,43894.71484375,43894.71484375
2022-02-10 05:57:00+00:00,,,,
2022-02-10 05:58:00+00:00,43902.1171875,43902.1171875,43902.1171875,43902.1171875
2022-02-10 05:59:00+00:00,43896.7578125,43896.7578125,43896.7578125,43896.7578125
2022-02-10 06:00:00+00:00,43900.1875,43900.1875,43900.1875,43900.1875
2022-02-10 06:01:00+00:00,43895.42578125,43895.42578125,43895.42578125,43895.42578125
2022-02-10 06:02:00+00:00,43900.78125,43900.78125,43900.78125,43900.78125
2022-02-10 06:03:00+00:00,43902.41015625,43902.41015625,43902.41015625,43902.41015625
2022-02-10 06:04:00+00:00,43904.25,43904.25,43904.25,43904.25
2022-02-10 06:05:00+00:00,43907.9765625,43907.9765625,43907.9765625,43907.9765625
2022-02-10 06:06:00+00:00,43910.3203125,43910.3203125,43910.3203125,43910.3203125
2022-02-10 06:07:00+00:00,43939.52734375,43939.52734375,43939.52734375,43939.52734375
2022-02-10 06:08:00+00:00,43934.015625,43934.015625,43934.015625,43934.015625
2022-02-10 06:09:00+00:00,,,,
2022-02-10 06:10:00+00:00,43909.2734375,43909.2734375,43909.2734375,43909.2734375
2022-02-10 06:11:00+00:00,43904.0546875,43904.0546875,43904.0546875,43904.0546875
2022-02-10 06:12:00+00:00,43905.80859375,43905.80859375,43905.80859375,43905.80859375
2022-02-10 06:13:00+00:00,43912.078125,43912.078125,43912.078125,43912.078125
2022-02-10 06:14:00+00:00,,,,
2022-02-10 06:15:00+00:00,,,,
2022-02-10 06:16:00+00:00,,,,
2022-02-10 06:17:00+00:00,43878.36328125,43878.36328125,43878.36328125,43878.36328125
2022-02-10 06:18:00+00:00,43872.05078125,43872.05078125,43872.05078125,43872.05078125
2022-02-10 06:19:00+00:00,43861.12890625,43861.12890625,43861.12890625,43861.12890625
